アルバム名,アルバムシリーズ
THE IDOLM@STER SHINY COLORS HOPEFUL FE@THERS -Sol-,HOPEFUL FE@THERS
THE IDOLM@STER SHINY COLORS HOPEFUL FE@THERS -Luna-,HOPEFUL FE@THERS
THE IDOLM@STER SHINY COLORS HOPEFUL FE@THERS -Stella-,HOPEFUL FE@THERS
BRILLI@NT WING 01 Spread the Wings!!,BRILLI@NT WING
BRILLI@NT WING 02 ヒカリのdestination,BRILLI@NT WING
BRILLI@NT WING 03 バベルシティ・グレイス,BRILLI@NT WING
BRILLI@NT WING 04 夢咲きAfter school,BRILLI@NT WING
BRILLI@NT WING 05 アルストロメリア,BRILLI@NT WING
FR@GMENT WING 01,FR@GMENT WING
FR@GMENT WING 02,FR@GMENT WING
FR@GMENT WING 03,FR@GMENT WING
FR@GMENT WING 04,FR@GMENT WING
FR@GMENT WING 05,FR@GMENT WING
FR@GMENT WING 06,FR@GMENT WING
GR@DATE WING 01,GR@DATE WING
GR@DATE WING 02,GR@DATE WING
GR@DATE WING 03,GR@DATE WING
GR@DATE WING 04,GR@DATE WING
GR@DATE WING 05,GR@DATE WING
GR@DATE WING 06,GR@DATE WING
GR@DATE WING 07,GR@DATE WING
L@YERED WING 01,L@YERED WING
L@YERED WING 02,L@YERED WING
L@YERED WING 03,L@YERED WING
L@YERED WING 04,L@YERED WING
L@YERED WING 05,L@YERED WING
L@YERED WING 06,L@YERED WING
L@YERED WING 07,L@YERED WING
L@YERED WING 08,L@YERED WING
PANOR@MA WING 01,PANOR@MA WING
PANOR@MA WING 02,PANOR@MA WING
PANOR@MA WING 03,PANOR@MA WING
PANOR@MA WING 04,PANOR@MA WING
PANOR@MA WING 05,PANOR@MA WING
PANOR@MA WING 06,PANOR@MA WING
PANOR@MA WING 07,PANOR@MA WING
PANOR@MA WING 08,PANOR@MA WING
 “CANVAS” 01,CANVAS
 “CANVAS” 02,CANVAS
 “CANVAS” 03,CANVAS
 “CANVAS” 04,CANVAS
 “CANVAS” 05,CANVAS
 “CANVAS” 06,CANVAS
 “CANVAS” 07,CANVAS
 “CANVAS” 08,CANVAS
ECHOES 01,ECHOES
ECHOES 02,ECHOES
ECHOES 03,ECHOES
ECHOES 04,ECHOES
ECHOES 05,ECHOES
ECHOES 06,ECHOES
ECHOES 07,ECHOES
ECHOES 08,ECHOES
ECHOES 09,ECHOES
"""円環 -Halo around-"" 01","""円環 -Halo around-"""
"""円環 -Halo around-"" 02","""円環 -Halo around-"""
"""円環 -Halo around-"" 03","""円環 -Halo around-"""
"""円環 -Halo around-"" 04","""円環 -Halo around-"""
Song for Prism 星の声,Song for Prism1周目
Song for Prism 裸足じゃイラレナイ / 明日もBeautiful Day,Song for Prism1周目
Song for Prism 時限式狂騒ワンダーランド / LINKs ,Song for Prism1周目
Song for Prism Happier / 枕木の歌,Song for Prism1周目
Song for Prism ハナムケのハナタバ / 青空,Song for Prism1周目
Song for Prism C’mon! Join Us / 愛なView / サマーサマーオーシャンパーリィバケーション,Song for Prism2周目
Song for Prism Shower of light / 快盗Vを見逃すな,Song for Prism2周目
Song for Prism After Run / mellow mellow,Song for Prism2周目
Song for Prism Heads or Tails？ / グッバイ,Song for Prism2周目
Song for Prism Real Mind Shakes / THE LAST PRIDE,Song for Prism2周目
Song for Prism BorderLine / クローバー / Summer Night Paradise,Song for Prism3周目
Song for Prism 愛しき日々 / Fading Stars / Future Transit / KoiKyun！,Song for Prism3周目
Song for Prism QUEEN OF THE PIRATES / キラピコ.exe / Sleepless Nights / アイノウ,Song for Prism3周目
Song for Prism カウントダウンラブ / KAWAII♡めたもる交響曲,PJ: REFRACTIONS
Song for Prism Karma / Naraku,PJ: REFRACTIONS
Song for Prism ボーダーレス・ノンストレス / Oh Yeah!!,PJ: REFRACTIONS
 Song for Prism SUPER DUPER DREAMER / BEAST MODE,PJ: REFRACTIONS
Song for Prism Ring Ring Ringの魔法 / 街角メランコリー,PJ: REFRACTIONS
Song for Prism 散花-sanka- / 紅花-benibana-,PJ: REFRACTIONS
Song for Prism Tokyo自由系*ガール / My time,PJ: REFRACTIONS
COLORFUL FE@THERS -Stella-,COLORFUL FE@THERS
COLORFUL FE@THERS -Luna-,COLORFUL FE@THERS
COLORFUL FE@THERS -Sol-,COLORFUL FE@THERS
COLORFUL FE@THERS -SHHis-,COLORFUL FE@THERS
COLORFUL FE@THERS -CoMETIK-,COLORFUL FE@THERS
シャイニーPRオファー vol.1,シャイニーPRオファー
シャイニーPRオファー vol.2,シャイニーPRオファー
シャイニーPRオファー vol.3,シャイニーPRオファー
 Synse-Side 01, Synse-Side
 Synse-Side 02, Synse-Side
 Synse-Side 03, Synse-Side
アニメ　ツバサグラビティ,アニメ
アニメ　プリズムフレア,アニメ
アニメ　Happy Surprise Trick!,アニメ
アニメ　Over the prism,アニメ
アニメアソビストア特装版 Blu-ray COMPLETE BOX,アニメ
騎士団のヴェール – Veil of Order – Music Collection,XR
XXX= S/N-GUL4R1TY MUSIC COLLECTION,XR
VOY@GER,ブランド合同
なんどでも笑おう,ブランド合同
アイ NEED YOU（FOR WONDERFUL STORY）,ブランド合同
ホムラインビテーション,コラボ
乱舞る / 疾風ザブングル,コラボ
FUTURITY SMILE,単曲リリース
SWEET♡STEP,単曲リリース
SE@SONAL WINTER,その他
デビ太郎 VS ジャスティスV,その他
B☆Health,その他
Shiny Stories,その他
シャニマス大感謝祭！ 〜283スポーツフェスティバル〜,その他
