放送内容,分類,出演者,初回放送,告知サイト,まとめ,お知らせまとめ2,お知らせまとめ3,アーカイブ
こえずか ～ヴァリアントナイツ リリース直前パリパリパーリナイツ！真夏の夜にパーリナイツ！安心して下さい、とにかく楽しいイベントですSP〜 ,外部イベント,遠藤ゆりか、高野麻里佳、近藤玲奈、沢城千春、花守ゆみり、本多真梨子、山村響、桑原由気,2015/08/12(水) 20:00,http://object-co.jp/koezuka/vk/,,,,
「あんハピ♪」先行上映会 1回目,外部イベント,花守ゆみり、白石晴香、安野希世乃、山村響、吉岡茉祐、森永千才、儀武ゆう子,2016-03-20 (日) 17:30,http://anne-happy.com/news-detail-2016-02-19-3.html,,,,
「あんハピ♪」先行上映会 2回目,外部イベント,花守ゆみり、白石晴香、安野希世乃、山村響、吉岡茉祐、森永千才、儀武ゆう子,2016-03-20 (日) 19:15,http://anne-happy.com/news-detail-2016-02-19-3.html,,,,
AnimeJapan 2016 1日目 エイベックス・ピクチャーズブース あんハピ♪,外部イベント,花守ゆみり、白石晴香、安野希世乃、山村響、吉岡茉祐、Happy Clover(声優ユニット)、大橋隆昌,2016-03-26 (土) 13:00,http://avex.jp/aj2016/,,,,
『あんハピ♪』OP/EDリリースイベント 1回目,外部イベント,花守ゆみり、白石晴香、安野希世乃、山村響、吉岡茉祐、Happy Clover(声優ユニット),2016-06-11 (土) 12:30,http://anne-happy.com/news/302,,,,
『あんハピ♪』OP/EDリリースイベント 2回目,外部イベント,花守ゆみり、白石晴香、安野希世乃、山村響、吉岡茉祐、Happy Clover(声優ユニット),2016-06-11 (土) 15:30,http://anne-happy.com/news/302,,,,
明治大学 第132回明大祭2日目 小松未可子・小見川千明・白石晴香・近藤玲奈トークショー～Girl's Session in Meiji Univ.～,外部イベント,小松未可子、小見川千明、白石晴香、近藤玲奈,2016/10/30(日) 13:00,http://animeiji.s25.xrea.com/events/2016/2016_Girl's_Session.html,,,,
サンドリ‧オン‧ステージ～初めましての舞踏会～ サンドリオン,外部イベント,サンドリオン、黒木ほの香、汐入あすか、川田澪、小峯愛未、会沢紗弥、小山百代、成海瑠奈,2017-03-10 19:30,https://www.eventernote.com/events/107954,,,,
『超！アニメディア劇場』2日目 A応P,外部イベント,A応P、巴奎依、広瀬ゆうき、福緒唯、水希蒼、いかさん(松岡侑李)、elfin'、花房里枝、希水しお、辻美優、岩田華怜、関谷真由、有澤睦生、NOW ON AIR、飯野美紗子、鈴木陽斗実、田中有紀、サンドリオン、黒木ほの香、汐入あすか、川田澪、小峯愛未、会沢紗弥、小山百代、成海瑠奈、小新井涼、麻宮騎亜(菊池通隆)、八坂沙織、鳳恵弥、鈴木咲、飛鳥凛、船岡咲,2017-03-23 18:30,https://www.eventernote.com/events/105308,,,,
サンドリ・オン・ステージ～サンドの飯より君が好き～ サンドリオン,外部イベント,サンドリオン、黒木ほの香、川田澪、小峯愛未、小山百代、汐入あすか、成海瑠奈、会沢紗弥,2017-04-23 11:00,https://www.eventernote.com/events/112366,,,,
