アイドル	作品	P/S	レア度	カード名	入手	実装日
シャニマスリリース	シャニマス					2018/04/24
櫻木真乃	シャニマス	W.I.N.G編				2018/04/24
風野灯織	シャニマス	W.I.N.G編				2018/04/24
八宮めぐる	シャニマス	W.I.N.G編				2018/04/24
月岡恋鐘	シャニマス	W.I.N.G編				2018/04/24
田中摩美々	シャニマス	W.I.N.G編				2018/04/24
白瀬咲耶	シャニマス	W.I.N.G編				2018/04/24
三峰結華	シャニマス	W.I.N.G編				2018/04/24
幽谷霧子	シャニマス	W.I.N.G編				2018/04/24
小宮果穂	シャニマス	W.I.N.G編				2018/04/24
園田智代子	シャニマス	W.I.N.G編				2018/04/24
西城樹里	シャニマス	W.I.N.G編				2018/04/24
杜野凛世	シャニマス	W.I.N.G編				2018/04/24
有栖川夏葉	シャニマス	W.I.N.G編				2018/04/24
大崎甘奈	シャニマス	W.I.N.G編				2018/04/24
大崎甜花	シャニマス	W.I.N.G編				2018/04/24
桑山千雪	シャニマス	W.I.N.G編				2018/04/24
田中摩美々	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
白瀬咲耶	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
有栖川夏葉	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
大崎甜花	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
櫻木真乃	シャニマス	P	R	白いツバサ	恒常	2018/04/24
櫻木真乃	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
風野灯織	シャニマス	P	R	白いツバサ	恒常	2018/04/24
風野灯織	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
八宮めぐる	シャニマス	P	R	白いツバサ	恒常	2018/04/24
八宮めぐる	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
月岡恋鐘	シャニマス	P	R	白いツバサ	恒常	2018/04/24
月岡恋鐘	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
田中摩美々	シャニマス	P	R	白いツバサ	恒常	2018/04/24
田中摩美々	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
白瀬咲耶	シャニマス	P	R	白いツバサ	恒常	2018/04/24
白瀬咲耶	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
三峰結華	シャニマス	P	R	白いツバサ	恒常	2018/04/24
三峰結華	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
幽谷霧子	シャニマス	P	R	白いツバサ	恒常	2018/04/24
幽谷霧子	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
小宮果穂	シャニマス	P	R	白いツバサ	恒常	2018/04/24
小宮果穂	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
園田智代子	シャニマス	P	R	白いツバサ	恒常	2018/04/24
園田智代子	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
西城樹里	シャニマス	P	R	白いツバサ	恒常	2018/04/24
西城樹里	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
杜野凛世	シャニマス	P	R	白いツバサ	恒常	2018/04/24
杜野凛世	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
