対象公演,公式サイトURL
283 Production XXXX Performance XXX= S/N-GUL4R1TY,https://idolmaster-official.jp/live_event/283_XXX/
283 Production MUSICAL Performance 騎士団のヴェール – Veil of Order –,https://idolmaster-official.jp/live_event/283_Order/
"283 Production LIVE Performance Uka,",https://idolmaster-official.jp/live_events/283_Uka
283 Production LIVE Performance [liminal;marginal;eternal],https://idolmaster-official.jp/live_event/SC_lme/
"shiny, the first REFRAC7IONS",https://idolmaster-official.jp/live_event/REFRAC7IONS_Still_blue/
Solo Live Collection -Master ShowPiece-,https://idolmaster-official.jp/live_event/283production_msp/
∞th LIVE iと夢,https://idolmaster-official.jp/live_event/shinycolors_8th/
シャニマス大感謝祭！ 〜283スポーツフェスティバル〜,https://idolmaster-official.jp/live_event/283pro_kansyasai/
7th LIVE TOUR 螺旋 -Halo around-,https://idolmaster-official.jp/live_event/shinycolors_7th_rasen/
7th UNITLIVE TOUR 円環 -Halo around-,https://idolmaster-official.jp/live_event/shinycolors_7th/
2nd season LIVE Over the prism,https://idolmaster-official.jp/live_event/shinycolors_over_the_prism/
"6.5th Anniversary LIVE ""Chapter 283""",https://idolmaster-official.jp/live_event/shinycolors_6-5th/
LIVE FUN!! -Beyond the Blue sky-,https://idolmaster-official.jp/live_event/shinycolors_livefun/
6thLIVE TOUR Come and Unite!,https://idolmaster-official.jp/live_event/shinycolors_6th/
5.5th Anniversary LIVE 星が見上げた空,https://idolmaster-official.jp/live_event/shinycolors_5-5th/
283PRODUCTION SOLO PERFORMANCE LIVE「我儘なまま」,https://idolmaster-official.jp/live_event/283production_solo/
5thLIVE If I_wings.,https://idolmaster-official.jp/live_event/shinycolors_5th/
283PRODUCTION UNIT LIVE MUGEN BEAT,https://idolmaster-official.jp/live_event/283unitlive_mugenbeat/
283PRODUCTION UNIT LIVE SETSUNA BEAT,https://idolmaster-official.jp/live_event/283unitlive_setsunabeat/
4thLIVE 空は澄み、今を越えて。,https://idolmaster-official.jp/live_event/shinycolors_4th/
Xmas Party -Silent night-,https://idolmaster-official.jp/live_event/shinycolors_xmasparty_silentnight/
283フェス 2021 Happy Buffet!,https://idolmaster-official.jp/live_event/283fest2021/
3rdLIVE TOUR PIECE ON PLANET,https://idolmaster-official.jp/live_event/shinycolors_3rd/
2ndLIVE STEP INTO THE SUNSET SKY,https://idolmaster-official.jp/live_event/shinycolors_2nd/
MUSIC DAWN,https://idolmaster-official.jp/live_event/shinycolors_musicdawn/index.php
SPRING PARTY 2020,https://idolmaster.jp/event/shinycolors_springparty2020.php
SUMMER PARTY 2019,https://idolmaster.jp/event/shinycolors_summerparty2019.php
1stLIVE FLY TO THE SHINY SKY,https://idolmaster.jp/event/shinycolors_1st.php
