対象公演,種別,URL
シャニマス初の対バンライブ 283PRODUCTION UNIT LIVE SETSUNA BEAT,キービジュ,https://x.com/imas_official/status/1529690155027943424?s=20
シャニマス初の対バンライブ 283PRODUCTION UNIT LIVE MUGEN BEAT,キービジュ,https://x.com/imas_official/status/1549982504257560576?s=20
5thLIVE If I_wings.,開催決定,https://x.com/imas_official/status/1584139355337420803?s=20
5thLIVE If I_wings.,キービジュ,https://x.com/shinyc_official/status/1591990713973030912?s=20
5thLIVE If I_wings.,ロゴ,https://x.com/imas_official/status/1584139355337420803?s=20
5thLIVE If I_wings.,ティザー,https://x.com/shinyc_official/status/1633063694329434117?s=20
Solo Performance LIVE 我儘なまま,開催決定,https://x.com/shinyc_official/status/1637432682861981696?s=20
Solo Performance LIVE 我儘なまま,書き下ろしイラスト,https://x.com/shinyc_official/status/1646347480894939138?s=20
Solo Performance LIVE 我儘なまま,ロゴ,https://x.com/shinyc_official/status/1637432682861981696?s=20
5.5th Anniversary LIVE 星が見上げた空,開催決定,https://x.com/shinyc_official/status/1683069153903775744?s=20
5.5th Anniversary LIVE 星が見上げた空,書き下ろしイラスト,https://x.com/imas_official/status/1684450794626744320?s=20
5.5th Anniversary LIVE 星が見上げた空,ロゴ,https://x.com/shinyc_official/status/1683069153903775744?s=20
6thLIVE TOUR Come and Unite!,開催決定,https://x.com/shinyc_official/status/1716039801261211872?s=20
6thLIVE TOUR Come and Unite!,キービジュ,https://x.com/shinyc_official/status/1727160078028189762?s=20
6thLIVE TOUR Come and Unite!,ロゴ,https://x.com/shinyc_official/status/1716039801261211872?s=20
LIVE FUN!! -Beyond the Blue sky-,開催決定,https://x.com/shinyc_official/status/1764223720611332295?s=20
LIVE FUN!! -Beyond the Blue sky-,書き下ろしイラスト,https://x.com/shinyc_official/status/1778257016848556205?s=20
6.5th Anniversary LIVE “Chapter 283”,開催決定,https://x.com/shinyc_official/status/1797968211234922819?s=20
6.5th Anniversary LIVE “Chapter 283”,書き下ろしイラスト,https://x.com/shinyc_official/status/1797968604740415956?s=20
6.5th Anniversary LIVE “Chapter 283”,キービジュ,https://x.com/shinyc_official/status/1805846852082057703?s=20
