日付,公演名,会場,公演区分
2018/06/24,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 東京会場1回目,Space emo 池袋,発売記念イベント
2018/06/24,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 東京会場2回目,Space emo 池袋,発売記念イベント
2018/07/01,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 大阪会場1回目,OSAKA MUSE,発売記念イベント
2018/07/01,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 大阪会場2回目,OSAKA MUSE,発売記念イベント
2018/07/22,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 02 ヒカリのdestination発売記念イベント 1回目,四谷LOTUS,発売記念イベント
2018/07/22,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 02 ヒカリのdestination発売記念イベント 2回目,四谷LOTUS,発売記念イベント
2018/08/12,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 03 バベルシティ・グレイス発売記念イベント 1回目,GARRET udagawa,発売記念イベント
2018/08/12,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 03 バベルシティ・グレイス発売記念イベント 2回目,GARRET udagawa,発売記念イベント
2018/09/22,TGS2018「アイドルマスターシャイニーカラーズ」 トーク&ミニライブ～Light Up!!! illumination STARS～,幕張メッセ国際展示場,外部
2018/10/06,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 04 夢咲きAfter school発売記念イベント 1回目,下北沢レッグ,発売記念イベント
2018/10/06,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 04 夢咲きAfter school発売記念イベント 2回目,下北沢レッグ,発売記念イベント
2018/10/20,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 05 アルストロメリア発売記念イベント 1回目,新宿MARZ,発売記念イベント
2018/10/20,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 05 アルストロメリア発売記念イベント 2回目,新宿MARZ,発売記念イベント
2019/03/09,THE IDOLM@STER SHINY COLORS 1stLIVE FLY TO THE SHINY SKY DAY1,舞浜アンフィシアター,キャストライブ
2019/03/10,THE IDOLM@STER SHINY COLORS 1stLIVE FLY TO THE SHINY SKY DAY2 昼公演,舞浜アンフィシアター,キャストライブ
2019/03/10,THE IDOLM@STER SHINY COLORS 1stLIVE FLY TO THE SHINY SKY DAY2 夜公演,舞浜アンフィシアター,キャストライブ
2019/04/21,THE IDOLM@STER SHINY COLORS FR@GMENT WING 01発売記念イベント 【2019年4月21日(日)公演】第一回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/04/21,THE IDOLM@STER SHINY COLORS FR@GMENT WING 01発売記念イベント 【2019年4月21日(日)公演】第二回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/05/05,THE IDOLM@STER SHINY COLORS FR@GMENT WING 01発売記念イベント 【2019年5月5日(日)公演】第一回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/05/05,THE IDOLM@STER SHINY COLORS FR@GMENT WING 01発売記念イベント 【2019年5月5日(日)公演】第二回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/05/26,THE IDOLM@STER SHINY COLORS FR@GMENT WING 02発売記念イベント第一回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/05/26,THE IDOLM@STER SHINY COLORS FR@GMENT WING 02発売記念イベント第二回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/06/22, 20th Anniversary Live ランティス祭り2019 A・R・I・G・A・T・O ANISONG DAY-02,幕張メッセ国際展示場 （9-11ホール）,外部
2019/07/07,THE IDOLM@STER SHINY COLORS FR@GMENT WING 03発売記念イベント第一回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/07/07,THE IDOLM@STER SHINY COLORS FR@GMENT WING 03発売記念イベント第二回,恵比寿ザ・ガーデンルーム,発売記念イベント
2019/07/21,THE IDOLM@STER SHINY COLORS FR@GMENT WING 04発売記念イベント第一回,ニッショーホール（日本消防会館）,発売記念イベント
2019/07/21,THE IDOLM@STER SHINY COLORS FR@GMENT WING 04発売記念イベント第二回,ニッショーホール（日本消防会館）,発売記念イベント
2019/08/18,THE IDOLM@STER SHINY COLORS SUMMER PARTY 2019 昼公演,パシフィコ横浜,キャストライブ
2019/08/18,THE IDOLM@STER SHINY COLORS SUMMER PARTY 2019 夜公演,パシフィコ横浜,キャストライブ
2019/09/15,THE IDOLM@STER SHINY COLORS FR@GMENT WING 05発売記念イベント第一回,科学技術館サイエンスホール,発売記念イベント
2019/09/15,THE IDOLM@STER SHINY COLORS FR@GMENT WING 05発売記念イベント第二回,科学技術館サイエンスホール,発売記念イベント
