キャラ,キャスト,既存ユニット,PJ: REFRAC7IONS,Team., -Master ShowPiece-,ハロウィン
櫻木真乃,関根瞳,イルミネーションスターズ,ザ・ふたりトラベラー,Team.Stella,アール・エ・クルール,スイートアニマル
風野灯織,近藤玲奈,イルミネーションスターズ,彼岸流,Team.Luna,ストリート・アンド・アヴォンガード,ポップゾンビ
八宮めぐる,峯田茉優,イルミネーションスターズ,Sonic Heart (and Signal),Team.Sol,マエストリア・エ・トラディチオーネ,ジョイフルデビル
月岡恋鐘,礒部花凜,アンティーカ,Sonic Heart (and Signal),Team.Stella,マエストリア・エ・トラディチオーネ,ポップゾンビ
田中摩美々,菅沼千紗,アンティーカ,Σ Desire,Team.Luna,ストリート・アンド・アヴォンガード,ナイトウィッチ
白瀬咲耶,八巻アンナ,アンティーカ,彼岸流,Team.Sol,マエストリア・エ・トラディチオーネ,ナイトウィッチ
三峰結華,成海瑠奈;希水しお,アンティーカ,No 1 feel alone,Team.Luna,アーバン・アンド・ライフスタイル,ジョイフルデビル
幽谷霧子,結名美月,アンティーカ,Fumage,Team.Luna,アール・エ・クルール,スイートアニマル
小宮果穂,河野ひより,放課後クライマックスガールズ,Sonic Heart (and Signal),Team.Stella,ストリート・アンド・アヴォンガード,ジョイフルデビル
園田智代子,白石晴香,放課後クライマックスガールズ,I’m a Cutie Finder,Team.Stella,アーバン・アンド・ライフスタイル,スイートアニマル
西城樹里,永井真里子,放課後クライマックスガールズ,Σ Desire,Team.Sol,アーバン・アンド・ライフスタイル,ジョイフルデビル
杜野凛世,丸岡和佳奈,放課後クライマックスガールズ,No 1 feel alone,Team.Luna,マエストリア・エ・トラディチオーネ,ナイトウィッチ
有栖川夏葉,涼本あきほ,放課後クライマックスガールズ,彼岸流,Team.Sol,マエストリア・エ・トラディチオーネ,ポップゾンビ
大崎甘奈,黒木ほの香,アルストロメリア,No 1 feel alone,Team.Stella,アール・エ・クルール,ジョイフルデビル
大崎甜花,前川涼子,アルストロメリア,I’m a Cutie Finder,Team.Luna,アーバン・アンド・ライフスタイル,ナイトウィッチ
桑山千雪,芝崎典子,アルストロメリア,彼岸流,Team.Sol,マエストリア・エ・トラディチオーネ,スイートアニマル
芹沢あさひ,田中有紀,ストレイライト,Σ Desire,Team.Stella,アール・エ・クルール,ポップゾンビ
黛冬優子,幸村恵理,ストレイライト,I’m a Cutie Finder,Team.Sol,アーバン・アンド・ライフスタイル,スイートアニマル
和泉愛依,北原沙弥香,ストレイライト,彼岸流,Team.Luna,ストリート・アンド・アヴォンガード,ナイトウィッチ
浅倉透,和久井優,ノクチル,Fumage,Team.Sol,マエストリア・エ・トラディチオーネ,
樋口円香,土屋李央,ノクチル,Σ Desire,Team.Stella,ストリート・アンド・アヴォンガード,
福丸小糸,田嶌紗蘭,ノクチル,No 1 feel alone,Team.Luna,アーバン・アンド・ライフスタイル,
市川雛菜,岡咲美保,ノクチル,Sonic Heart (and Signal),Team.Sol,アール・エ・クルール,
七草にちか,紫月杏朱彩,シーズ,I’m a Cutie Finder,Team.Sol,ストリート・アンド・アヴォンガード,
緋田美琴,山根綺,シーズ,Σ Desire,Team.Stella,アーバン・アンド・ライフスタイル,
斑鳩ルカ,川口莉奈,コメティック,Σ Desire,Team.Luna,ストリート・アンド・アヴォンガード,
鈴木羽那,三川華月,コメティック,I’m a Cutie Finder,Team.Stella,アール・エ・クルール,
郁田はるき,小澤麗那,コメティック,ザ・ふたりトラベラー,Team.Sol,アール・エ・クルール,
