商品名,発売日,本編収録,初回・特装版特典,通常版の内容,補足
THE IDOLM@STER SHINY COLORS 1stLIVE FLY TO THE SHINY SKY,2019/11/13,3月10日（千秋楽）ライブ本編,アソビストア特装版：熱海＜初島＞ロケ映像BD,ライブ本編・全公演の朗読劇・メイキング・オーディオコメンタリー,撮り下ろし特典映像も収録
THE IDOLM@STER SHINY COLORS -MUSIC DAWN-,2021/03/24,DAY1・DAY2ライブ本編,アソビストア特装版：撮りおろし写真ブックレット,DAY1／DAY2別売：各日ライブ本編・メイキング・オーディオコメンタリー・5.1ch音声・三つ折りブックレット,初回生産限定版はBD5枚＋CD1枚
THE IDOLM@STER SHINY COLORS 2ndLIVE STEP INTO THE SUNSET SKY,2021/12/08,DAY1・DAY2ライブ本編,アソビストア特装版：クリエイター・キャスト対談映像,DAY1／DAY2別売：各日ライブ本編・メイキング・オーディオコメンタリー・5.1ch音声,初回生産限定版に春のピクニック映像などを収録
THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET / NAGOYA,2022/03/16,名古屋DAY1・DAY2ライブ本編,アソビストア特装版：Xmas Party -Silent night- イベント本編BD,DAY1・DAY2ライブ本編・メイキング・オーディオコメンタリー・フォトブック,会場ごとの商品
THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET / TOKYO,2022/04/20,東京DAY1・DAY2ライブ本編,アソビストア特装版：Xmas Party -Silent night- イベント本編BD,DAY1・DAY2ライブ本編・メイキング・オーディオコメンタリー・フォトブック,会場ごとの商品
THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET / FUKUOKA,2022/05/18,福岡DAY1・DAY2ライブ本編,アソビストア特装版：Xmas Party -Silent night- イベント本編BD,DAY1・DAY2ライブ本編・メイキング・オーディオコメンタリー・フォトブック,会場ごとの商品
THE IDOLM@STER SHINY COLORS 4thLIVE 空は澄み、今を越えて。,2022/12/21,DAY1・DAY2ライブ本編,アソビストア特装版：河野ひよりとマメ丸の散歩BD,DAY1／DAY2別売：各日ライブ本編・メイキング・オーディオコメンタリー・5.1ch音声,初回生産限定版に撮り下ろし特典映像・フォトブック等
THE IDOLM@STER SHINY COLORS 5thLIVE If I_wings.,2023/12/20,DAY1・DAY2ライブ本編,アソビストア特装版：SETSUNA BEATのシャッフルパート映像BD,DAY1／DAY2別売：各日ライブ本編・メイキング・オーディオコメンタリー・5.1ch音声,初回生産限定版にアイドルインタビュー等を収録
THE IDOLM@STER SHINY COLORS 我儘なまま＆5.5th Anniversary LIVE 星が見上げた空 Blu-ray BOX,2024/05/22,我儘なままDAY1・DAY2／星が見上げた空DAY1・DAY2ライブ本編,アソビストア特装版：MUGEN BEATのシャッフルパート映像BD,我儘なまま／星が見上げた空はそれぞれ通常版あり,初回生産限定版のセット商品
THE IDOLM@STER SHINY COLORS 6thLIVE TOUR Come and Unite!,2025/02/05,Brilliant Blooms・Fantastic FireworksのDAY1・DAY2ライブ本編,アソビストア特装版：DJパートLIVE音源CD・大阪＆横浜SPロケ映像BD,大阪公演／横浜公演の通常商品あり,初回生産限定版に新規特典映像「シャニマスの夏休み in 沖縄」
THE IDOLM@STER SHINY COLORS 6.5th Anniversary LIVE Chapter 283,2025/10/29,DAY1・DAY2ライブ本編,アソビストア特装版：シャニソン ユニット楽曲イベントシナリオブック,通常版の情報は未登録,初回生産限定版はBlu-ray3枚組
THE IDOLM@STER SHINY COLORS 2nd season LIVE Over the prism,2026/03/25,DAY1・DAY2ライブ本編,初回生産限定版・アソビストア特装版：LIVE FUN!! -Beyond the Blue sky- 一部ライブパート,通常版の情報は未登録,アソビストア特装版は新規撮りおろしブックレット付き
THE IDOLM@STER SHINY COLORS 7th LIVE TOUR 螺旋 -Halo around- The origin on the axes,2027/03/17予定,DAY1・DAY2ライブ本編,初回生産限定版：円環各公演DAY2本編＋DAY1のMigratory Echoes／特装版：上海2025ステージ映像,通常版の情報は未登録,発売予定・内容は告知時点
