対象公演,収録商品,収録範囲,収録内容
283プロダクション プロデューサー感謝祭 ～1.5 Anniversary Festival～,GR@DATE WING 01（付属Blu-ray）,一部,ライブパート
LIVE FUN!! -Beyond the Blue sky-,2nd season LIVE Over the prism Blu-ray【初回生産限定版】アソビストア特装版,一部,ライブパート
283PRODUCTION UNIT LIVE SETSUNA BEAT,5thLIVE If I_wings. Blu-ray【初回生産限定版】アソビストア特装版,一部,シャッフルパート
283PRODUCTION UNIT LIVE MUGEN BEAT,我儘なまま＆5.5th Anniversary LIVE 星が見上げた空 Blu-ray BOX【初回生産限定版】アソビストア特装版,一部,シャッフルパート
THE IDOLM@STER SHINY COLORS Xmas Party -Silent night-,3rdLIVE TOUR PIECE ON PLANET Blu-ray【アソビストア特装版】,全編,イベント本編（2枚組Blu-ray）
7th UNITLIVE TOUR 円環 -Halo around- first quadrant,7th LIVE TOUR 螺旋 Blu-ray【初回生産限定版】,一部,DAY2本編／DAY1のMigratory Echoes（アンティーカVer.）を個別収録
7th UNITLIVE TOUR 円環 -Halo around- second quadrant,7th LIVE TOUR 螺旋 Blu-ray【初回生産限定版】,一部,DAY2本編／DAY1のMigratory Echoes（ストレイライトVer.）を個別収録
7th UNITLIVE TOUR 円環 -Halo around- third quadrant,7th LIVE TOUR 螺旋 Blu-ray【初回生産限定版】,一部,DAY2本編／DAY1のMigratory Echoes（アルストロメリアVer.）を個別収録
7th UNITLIVE TOUR 円環 -Halo around- fourth quadrant,7th LIVE TOUR 螺旋 Blu-ray【初回生産限定版】,一部,DAY2本編／DAY1のMigratory Echoes（ノクチルVer.）を個別収録
THE IDOLM@STER SHINY COLORS -Shiny Party- in Shanghai 2025,7th LIVE TOUR 螺旋 Blu-ray【初回生産限定版】アソビストア特装版,一部,ステージ映像
