0,楽曲名,アルバム,リリース日,歌唱者,歌詞,,,,,,,,,,,,,,,,,,,,,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,列 14
1,Spread the Wings!! ,BRILLI@NT WING 01 ,2018/05/07,シャイニーカラーズ,Spread the Wings 行こう 今、はじまる奇跡翼を広げて (君とどこまでも) あの空の彼方(Start Up) 新しい夢にあつまった (You & Me YES!!)やわらかい羽をぎゅっとつないで(Look Up) 誰も見たことない翼わたし達の空に広げようどんな憧れも全部かなえる そんな未来信じてみない？強く願えたら (それはもう) 本物だよ！Spread the Wings 行こう 今、羽ばたく時間ずっとみんな 待っていたよねSpread the Wings これは もう最初の奇跡 (見つけた) 手を伸ばせば (Power) うまれてくる勇気をさあ 味方にして翼を広げて (君とどこまでも) あの空の彼方(Grow Up) 不安はみんな同じだね （Don’t worry YES!!）だけどワクワクちゃんとしてるの(Jump Up) うまくできない自分ごと好きになれるステージきっとあるいっぱい夢見たぶん、うんと遠くまで イメージする…リアルになる今はそれだけで (じゅうぶん) 強くなれる！（上昇気流にRide!!）Spread the Wings 行こう まだ知らない世界夢が夢で 終わらない場所Spread the Wings いつか 最高の笑顔で(一緒に) たどりつける (Future) キラメキへと可能性で 羽ばたくんだYeah!!さあ、ここから 前だけ見て進むよ瞳に両手に Dream (Dream) 輝かせようSpread the Wings 行こう 今、羽ばたく時間ずっとみんな 待っていたよねSpread the Wings これは もう最初の奇跡(見つけた) 手を伸ばして (Power) 受け取ったの君と目指す （Future） キラめく世界[全員] 可能性で 羽ばたくんだ翼を広げて（君とどこまでも）あの空の彼方（夢を追いかけて）翼を広げて（君とどこまでも）あの空の彼方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Multicolored Sky ,BRILLI@NT WING 01 ,2018/05/07,シャイニーカラーズ,楽しかった時間ほど気がついたら終わってしまうねなんだかさみしくなって 空を見たんだおんなじ瞬間なんてね (Precious Time)二度とないよ だからこんなにも光っているんだ (We're finding right now！)私らしいってことを大切と言ってくれたから (It's My Color)瞳に映したいの傍で叶えたい夢あの空は抱きしめているよ (Every Color)色とりどりの光たちが待っている心をいつもまた明日 違う輝きが (Shiny Hour)胸に灯って綺麗な色に染まる今日の続き 知ってみたい (Tomorrow's Sky)近くにいるんだってこと意識したらシャイになるからねほんの少し視線落とし 君を見たんだ一緒の時間に出逢えた (Precious Time)想いだって留めていたいから歌っているんだ (We're singing right now！)光を解いたらパレットに変わってくでしょ？ (Gradation)自由に色を探そう それが見つけたい未来あの空は抱きしめているよ (Every Color)色とりどりの可能性になっていく心をずっとまた明日 きっと輝きに (Shiny Hour)めぐりあえるよ 希望と笑顔はいつも寄り添うように always two by side想い出がね 眺めている風景も私たちの一瞬も染めるの オレンジへあの空は抱きしめているよ (Every Color)色とりどりの光たちが待っている心をいつもまた明日 そんな約束が (Shiny Hour)夢を叶えて未来の色になるよ今日の続き 君と見たい (Tomorrow's Sky)探しにいこうよ 色んな光をLa la la La la la laLa la la La la la la laLa la la La la la laLa la la La la la la la,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ヒカリのdestination,BRILLI@NT WING 02,2018/07/04,イルミネーションスターズ,ヒカリの destination微かなキラメキだった始まりだって (始まりだって)気付かないまま 追いかけてた雨上がり 青い空何かが起こりそうなステキな予感がするでしょ ねえキミもワクワクする方へと 勝手に動きだすよ言うこと聞いてくれないハート瞳の奥に眠るホントの気持ちはやるココロ 焦らさないで輝きのたもとへ 走り出そうよヒカリの destinationそのしっぽを捕まえたい見失わないで (見失わないで)夢がある限り瞳の illumination輝く無限の可能性私たちの キ・セ・キ繋がってく (繋がってく) ヒカリの束 その先へいつからだったのかな憧れてたその場所叶えて たどり着きたいその未来カラフルな波揺れて 涙が溢れそうでココロがずっと震えているよ思い描いてた景色広がり続けキミと私 繋ぐ想い昨日は 今日この日のためだったねヒカリの destination虹になって空を駆ける追いかけてくよ (追いかけてくよ)明日がある限り瞳の illuminationあの日の誓い 忘れない私たちの ネ・ガ・イいま空へと (いま空へと) 響き渡れ いつまでも一度触れてしまった時に二度と忘れられない 夢になったの感覚がしっかりと覚えてるすべてを すべてを 照らすヒカリヒカリの destinationそのしっぽを捕まえたい見失わないで (見失わないで)夢がある限り瞳の illumination輝く無限の可能性私たちの キ・セ・キ繋がってく (繋がってく) ヒカリの束 その先へあの空へと (あの空へと) 響き渡れ いつまでも,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,虹になれ,BRILLI@NT WING 02,2018/07/04,イルミネーションスターズ,走り出すよ キミの未来が今翼を手に入れたからきらめく虹になれガンバルキミのことずっと見てた 見守ってたよ私も負けないと ぎゅっと誓った息を切らしたから (たどり着いた先)見える景色がある (見上げたら)強い気持ち 厚い雲を 切り開いて風に乗って どこまでも行けるよ行き止まりも 飛び越えよう光を身にまといたどり着ける 約束の未来へ目的地は幻じゃないあの日見つめた夢にこの手が 届きそうかっこよくできなくてくやしい気持ち 胸に広がるホントに このままでいいのかなってカーテン締め切った (キミのメッセージ)部屋の隅の涙 (届いたの)閉じこもっちゃ story は始まらないドアを開けて セカイに飛び込もう希望がノックしている一人じゃないんだよ未完成の地図を そっと開き手探りでもいい 進もう光の余韻 空に残して虹になれ大きな声で さあ響かせようよ願い (願い) 祈り (祈り) あの大空へ届くように風に乗って どこまでも行けるよ行き止まりも 飛び越えよう光を身にまといたどり着ける 約束の未来へ目的地は幻じゃないあの日見つめた夢にこの手が 届きそう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,バベルシティ・グレイス ,BRILLI@NT WING 03,2018/08/01,アンティーカ,"ソラは遠くて 居るのはただ 虚ろな太陽淀んだ空気の中で言葉が ココロが 隔てられて 霞んで見えない双眼鏡を覗いてもでも1つだけ 残されてるボクらを繋ぐモノ蒸気を見せる 時を待ってるさあ始めようか錆び付いた運命の鍵を回して!Ignite our song!急げ灯すんだ ""ウタ"" という世界を変えてく flame孤独に冷えたハート 永久機関に出来るのさ いつだってBelieve our song!キミとボクを結ぶライン伝って奔るよ phrase希望 聴こえる?バベルシティ・グレイス響いてくどこまでも独りぼっちじゃ ネガイだって瓦礫になってく行き先が分からずに小さな焔は 寂しさ抱き呼吸していたよ旅立つ日ユメ見ながらそうそして「今日」時が来たよボクらが出会う時震えている 胸のコアはもう稼働中だよ恐れずに未来の航海図広げて!Resonance our song!ここで鳴り響く ""オト"" には宿るよ無限の brave曇った視界の向こう 一直線に突き抜けてゆくようにArise our song!諦めで塗りつぶされた時代を変えるよ blaze今 奏でるNew frontier bless幕開けの声となれ熱を持って爆ぜるメロディさあ始めようか錆び付いた運命の鍵を回して!Ignite our song!急げ灯すんだ ""ウタ"" という世界を変えてく flame孤独に冷えたハート 永久機関にしてゆくよ ""アンティーカ""Believe our song!キミとボクを結ぶライン伝って奔るよ phrase希望 聴こえる?バベルシティ・グレイス響いてく彼方へと",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,幻惑SILHOUETTE,BRILLI@NT WING 03,2018/08/01,アンティーカ,"(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ahAh-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ahAh-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ahまるで意思の無い 機械仕掛けの doll無口な瞳で 日々をルーティン立ちふさぐ闇が もしも影絵でも気づかぬハートは言うだろう it's a my fate(No! Realize realize realize real live!) 壊せ bias!揺らめく絶望の本当の姿を見抜いてキミにはまだ知らない新たなウタ 巡る 世界がある幻惑の silhouette 超えて(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)暗い洞窟の 囚われ prisoner壁に映るのは 酷いナイトメア窮屈な部屋に 不意に届くオトそれは旅してる旋律 flame grace(Yes! Realize realize realize real live!) 穿て your heart!響いたオンガクに誘われ扉を開けばキミはもう分かるはず今まで 見えなかった 世界のこと黎明の symphony 流れ眩しくて鮮やか過ぎるかい?自由は痛くて苦しい でも(Yes! Realize realize realize real live!) 望め your heart!揺らめく絶望の本当の姿を見抜けばもうすぐ着くだろう新たなウタ 紡ぐ イデアの声Allegory of the caveさあ 希望を迎えに行こう幻惑の silhouette 消して!(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)(Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah)Ah-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ahAh-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ahAh-ah-ah-ah-ah-ah-ah, ah-ah-ah-ah-ah-ah-ah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,夢咲きAfter school,BRILLI@NT WING 04,2018/09/05,放課後クライマックスガールズ,(Everybody let's go!)Viva after school yeah yeah (hi hi hi チーズ!)Viva after school yeah yeah (hi hi hi ピース!)ねえねえ ちょっと話聞いていい事あったんでしょう?机かこんで 語りましょう放課後 ho 放課後 (go go)自撮りの角度 キマらない結局 画面いっぱい笑顔Ok! Let's go!このままで進もう (ピース!)いっせーのせで (多分カンペキ!)ローファーで (行くよ みんな!)靴ズレもしそうだけど未来へ全力で駆けて行く (No.1!)世界 最上 最愛 掴みたい咲こうとしたその日が花盛り手を取り合い 空 指さして夢は 絶対 一切 離さないシアワセも強さも手に入れてギンガも救う私たち climax (さいこうちょう)(Yeah!)Viva after school yeah yeah (hi hi hi チーズ!)Viva after school yeah yeah (hi hi hi ピース!)ねえねえ テスト 何点だった?いい点 取ったんでしょ?勉強会で スイーツたべよう放課後 ho 放課後 (go go)解答欄が広くても等身大のコタエはただ一つWe are alright!自信持って行こう (ファイトー!)制服って (なんか不思議)愛らしくて (たまにキュークツ)自由だけど 自由じゃない今だけのワクワク探してた (No.1!)だから全開 前進 目指したい希望ばっかり膨らむ今が好き声そろえて 海に叫んで地平線上 いっそう 煌めいて太陽にも 月にも スターにもなれる気がする私たち climax (さいこうちょう)(Yeah!)いつだって (C.L.I.M.A.X)ハリキってときめいて 踏み出して間違って 向き合って (hi hi hi hi hi)みんなで 輝いて (hi hi hi ピース!)世界 最上 最愛 掴みたい咲こうとしたその日が花盛り手を取り合い 空 指さして夢は 絶対 一切 離さないシアワセも強さも手に入れてギンガも救う私たち climax (さいこうちょう)(Yeah!)Viva after school yeah yeah (hi hi hi チーズ!)Viva after school yeah yeah (hi hi hi ピース!)Viva after school yeah yeah (hi hi hi チーズ!)Viva after school yeah yeah (hi hi hi ピース!),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,太陽キッス,BRILLI@NT WING 04,2018/09/05,放課後クライマックスガールズ,教室に吹いた とびきりの南風が 教科書閉じたから出かけよう 走り出そう前のめりで fly fly fly (high) 止まらないハート形の雲 追いかけよう (追いかけよう)こんな晴れた日は 篭れないよ (篭れないよ)美白美肌は 言い訳でしょ (言い訳でしょ)旅行の計画はほっといて すぐに 行けるトコへ go (go)Wake up あくびエンドレスじゃ no (no no)Make up トラブルもスイッチして chance (chance chance)午前だけの授業 午後からは自由スキップしたい 解放感に委ねてウズウズからウズに飛び込め空から 太陽キッス ラブコールでしょFree fly free だから始めよう振り (free) まいてこう (go) 天下無双の笑顔世界は shiny blue 空に散らばるLovely blue 今日のきらめきを そう (so) 探そう (so)欲張りどきで 全部集めたくてダウンタウンでマイフレンド大募集 (boom boom)ブレザーで大草原大走行 (boom boom)海岸で大胆にダイビング (boom boom)全身で輝く (yeah yeah yeah)ココナッツ香る ボディミスト (ボディミスト)リゾート気分を 無理矢理妄想 (無理矢理妄想)「って 旅行の計画もいいけど 今日は晴れてるねえやっぱ放課後は でかけましょう!」うかうか 体感時間 過ぎる前に 目的地へ dash (dash)Seaside スピーディな快速で行こう (go go)Sea breeze 浴びて青春しよう (yo yo)ブラウスの背中が 膨らみきるような速さで どこまで行けるかなワクワクしてワクを飛び出そう空咲く rainbow way 今だけだけどClean don't clean まぶたに溢れるくらい (cry)フルカラー (love) 思い出と同じね明日も we are we だからこそもっとWe are free 予想がつかないね そう (so) 信じよう (yo)どんなミラクルも みんなで起こしてく全員で存分にハイテンション (boom boom)期待と興奮のローテーション (boom boom)最強に最大の愛情で (boom boom)全部シェアしたい (yeah yeah yeah)教室に吹いた とびきりの南風が free (free) free (free)出かけようって 誘うから fly fly fly空から 太陽キッス ラブコールでしょFree fly free だから始めよう振り (free) まいてこう (go) 天下無双の笑顔世界は shiny blue 空に散らばるLovely blue 今日のきらめきを そう (so) 探そう (so)欲張りどころでしょ空咲く rainbow way 今だけだけどClean don't clean まぶたに溢れるくらい (cry)フルカラー (love) 思い出と同じね明日も we are we だからこそもっとWe are free 予想がつかないね そう (so) 信じよう (yo)どんなミラクルも みんなで起こしてく全員で存分にハイテンション (boom boom)期待と興奮のローテーション (boom boom)最強に最大の愛情で (boom boom)全部シェアしたい (yeah yeah yeah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,アルストロメリア,BRILLI@NT WING 05,2018/10/03,アルストロメリア,気絶しそう しどろもどろ花ざかりタレイアまともなあたまが繋がらない アダージョみたい凛々しくいよう 強くなろう天と地がディストーション夢をみることも忘れてしまうのかなふくらむ蕾が傷だらけでも優しくそっと手をとってくれますかチュ チュ チュ 幸福論 誕生アイデンティティー見つけたアルストロメリアの花咲いた 咲いた silent love過去も未来も諸事情もキミ色にぜんぶ染まりたい一途なわたし フィロソフィ咲いた 咲いた silent loveニヒリズムも ペシミズムも退屈がテンプレまっ赤なりんごは落ちてこない 木の上のままもしも いつか やがて きっと初めからエンドロール照れかくしなんてあまのじゃくすぎるかなねじれたバルブが不完全でもかまわずずっとそばにいてくれますかギュ ギュ ギュ 悲劇的 最高ジャッジメントがくだらないアルストロメリアの葉はまわる まわる cipherサチュレーションあげてよバイオリズム 果てまでもっとドキドキしようチュ チュ チュ 幸福論 誕生アイデンティティー見つけたアルストロメリアの花咲いた 咲いた silent loveギュ ギュ ギュ 悲劇的 最高ジャッジメントがくだらないアルストロメリアの葉はまわる まわる cipherYes No 好きでも嫌いでもキミにならぜんぶ捧げたい重なるしぐさ シンパシー咲いた 咲いた silent love愛が 咲いた silent love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ハピリリ,BRILLI@NT WING 05,2018/10/03,アルストロメリア,ハピリリ 走ってく胸の痛みはハピリリ しみるスパイスのようだいじなことが変わる気がする恋を知ってキミの視線追いかけ わざと前をとおるわたしだけが見つける 笑ったあと えくぼホリックキミの好み探して わりと甘いメイクわたしだけがひらめく ハートギミック上手にちょっとぶつかってどさくさぶってふれあって両手をぎゅっと握れば 急接近じゃんぐずってたってダメだっていー感じって今日も背伸びでスマイルラブダビ ふくらんだ胸のなかにはラブダビ 甘くキミが漂う小さなことも違う気がする恋をしているのかなどきどきテンション アーティキュレーションときめきノート 始まるわたしはきっとキミが大好きだよキミが仲良くしてる 女の子はだあれ？わたしだけじゃないなら ノットロマンス友達だってわり切ってどこまでだってバカやって切なくたって幸せ そのほうがいいビミョーなこの気持ちを上手にかわすにはどうすればいいのハピリリ 走ってく胸の痛みはハピリリ しみるスパイスのようだいじなことが変わる気がする恋を知ってゆくのかな会いたいけど会いたくないの聞きたいけど聞きたくないの知りたいけど知りたくないの言いたいけど言いたくないの見つめあって大人になる？！それならまだ早いからラブダビ ふくらんだ胸のなかにはラブダビ 甘くキミが漂う小さなことも違う気がする恋をしてハピリリ 走ってく胸の痛みはハピリリ しみるスパイスのようだいじなことが変わる気がする恋を知ってゆくのかなどきどきテンション アーティキュレーションときめきノート 始まるわたしはきっとキミが 大好きだよ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
