アルバム名,公式詳細ページ,画像URL,ジャケット画像ファイル
"THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!","https://shinycolors.lantis.jp/releaseinfo/lacm-14781/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/jk_LACM-14781.jpg","jk_LACM-14781.jpg"
"THE IDOLM@STER SHINY COLORS BRILLI@NT WING 02 ヒカリのdestination","https://shinycolors.lantis.jp/releaseinfo/lacm-14782/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14782.jpg","LACM-14782.jpg"
"THE IDOLM@STER SHINY COLORS BRILLI@NT WING 03 バベルシティ・グレイス","https://shinycolors.lantis.jp/releaseinfo/lacm-14783/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14783.jpg","LACM-14783.jpg"
"THE IDOLM@STER SHINY COLORS BRILLI@NT WING 04 夢咲きAfter school","https://shinycolors.lantis.jp/releaseinfo/lacm-14784/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14784.jpg","LACM-14784.jpg"
"THE IDOLM@STER SHINY COLORS BRILLI@NT WING 05 アルストロメリア","https://shinycolors.lantis.jp/releaseinfo/lacm-14785/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14785.jpg","LACM-14785.jpg"
"THE IDOLM@STER SHINY COLORS FR@GMENT WING 01","https://shinycolors.lantis.jp/releaseinfo/lacm-14861/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14861.jpg","LACM-14861.jpg"
"THE IDOLM@STER SHINY COLORS FR@GMENT WING 02","https://shinycolors.lantis.jp/releaseinfo/lacm-14862/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14862.jpg","LACM-14862.jpg"
"THE IDOLM@STER SHINY COLORS FR@GMENT WING 03","https://shinycolors.lantis.jp/releaseinfo/lacm-14863/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14863.jpg","LACM-14863.jpg"
"THE IDOLM@STER SHINY COLORS FR@GMENT WING 04","https://shinycolors.lantis.jp/releaseinfo/lacm-14864/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14864.jpg","LACM-14864.jpg"
"THE IDOLM@STER SHINY COLORS FR@GMENT WING 05","https://shinycolors.lantis.jp/releaseinfo/lacm-14865/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14865.jpg","LACM-14865.jpg"
"THE IDOLM@STER SHINY COLORS FR@GMENT WING 06","https://shinycolors.lantis.jp/releaseinfo/lacm-14866/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14866.jpg","LACM-14866.jpg"
"THE IDOLM@STER SHINY COLORS GR@DATE WING 01","https://shinycolors.lantis.jp/releaseinfo/lacm-14982/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14982.jpg","LACM-14982.jpg"
"THE IDOLM@STER SHINY COLORS GR@DATE WING 02","https://shinycolors.lantis.jp/releaseinfo/lacm-14983/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14983.jpg","LACM-14983.jpg"
"THE IDOLM@STER SHINY COLORS GR@DATE WING 03","https://shinycolors.lantis.jp/releaseinfo/lacm-14984/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14984-1.jpg","LACM-14984-1.jpg"
"THE IDOLM@STER SHINY COLORS GR@DATE WING 04","https://shinycolors.lantis.jp/releaseinfo/lacm-14985/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14985.jpg","LACM-14985.jpg"
"THE IDOLM@STER SHINY COLORS GR@DATE WING 05","https://shinycolors.lantis.jp/releaseinfo/lacm-14986/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14986.jpg","LACM-14986.jpg"
"THE IDOLM@STER SHINY COLORS GR@DATE WING 06","https://shinycolors.lantis.jp/releaseinfo/lacm-14987/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14987.jpg","LACM-14987.jpg"
"THE IDOLM@STER SHINY COLORS GR@DATE WING 07","https://shinycolors.lantis.jp/releaseinfo/lacm-24005/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24005.jpg","LACM-24005.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 01","https://shinycolors.lantis.jp/releaseinfo/lacm-24111/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24111.jpg","LACM-24111.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 02","https://shinycolors.lantis.jp/releaseinfo/lacm-24112/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24112.jpg","LACM-24112.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 03","https://shinycolors.lantis.jp/releaseinfo/lacm-24113/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24113.jpg","LACM-24113.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 04","https://shinycolors.lantis.jp/releaseinfo/lacm-24114/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24114.jpg","LACM-24114.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 05","https://shinycolors.lantis.jp/releaseinfo/lacm-24115/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24115.jpg","LACM-24115.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 06","https://shinycolors.lantis.jp/releaseinfo/lacm-24116/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24116.jpg","LACM-24116.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 07","https://shinycolors.lantis.jp/releaseinfo/lacm-24117/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24117.jpg","LACM-24117.jpg"
"THE IDOLM@STER SHINY COLORS L@YERED WING 08","https://shinycolors.lantis.jp/releaseinfo/lacm-24118/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24118.jpeg","LACM-24118.jpeg"
"THE IDOLM@STER SHINY COLORS PANOR@MA WING 01","https://shinycolors.lantis.jp/releaseinfo/lacm-24251/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24251.jpeg","LACM-24251.jpeg"
"THE IDOLM@STER SHINY COLORS PANOR@MA WING 02","https://shinycolors.lantis.jp/releaseinfo/lacm-24252/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24252.jpg","LACM-24252.jpg"
"THE IDOLM@STER SHINY COLORS PANOR@MA WING 03","https://shinycolors.lantis.jp/releaseinfo/lacm-24253/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24253.jpg","LACM-24253.jpg"
"THE IDOLM@STER SHINY COLORS PANOR@MA WING 04","https://shinycolors.lantis.jp/releaseinfo/lacm-24254/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24254.jpg","LACM-24254.jpg"
