出演回,初回放送,放送内容,種類,ユニット回,マンスリーMC,ゲスト,欠席,公式配信URL,後半,備考
1,2018/06/14(木) 17:00,ユニット回：イルミネーションスターズ,,イルミネーションスターズ,,,,https://asobichannel.asobistore.jp/watch/peadtfaqgflu,,"出演: イルミネーションスターズ (関根瞳, 近藤玲奈, 峯田茉優)"
2,2018/06/26(火) 21:00,ユニット回：アンティーカ,,アンティーカ,,,,https://asobichannel.asobistore.jp/watch/5dacga1rr,,"出演: アンティーカ (礒部花凜, 菅沼千紗, 八巻アンナ, 成海瑠奈, 結名美月)"
3,2018/07/03(火) 21:00,ユニット回：アルストロメリア,,アルストロメリア,,,,https://asobichannel.asobistore.jp/watch/rk3tnxcn3n3,,"出演：アルストロメリア(黒木ほの香, 前川涼子, 芝崎典子)"
4,2018/07/10(火) 21:00,ユニット回：放課後クライマックスガールズ,,放課後クライマックスガールズ,,,,https://asobichannel.asobistore.jp/watch/v_n6o6jl_zq9,,出演：放課後クライマックスガールズ(河野ひより、白石晴香、永井真里子、丸岡和佳奈、涼本あきほ)
5,2018/07/17(火) 21:00,ユニット回：イルミネーションスターズ,,イルミネーションスターズ,,,,https://asobichannel.asobistore.jp/watch/ga0s3a3ude,,出演：イルミネーションスターズ(関根瞳、近藤玲奈、峯田茉優)
6,2018/07/24(火) 21:00,ユニット回：アンティーカ,,アンティーカ,,,,https://asobichannel.asobistore.jp/watch/whh_214uqe6c,,出演: アンティーカ(礒部花凜、菅沼千紗、八巻アンナ、成海瑠奈、結名美月)
7,2018/07/31(火) 21:00,ユニット回：アルストロメリア,,アルストロメリア,,,,https://asobichannel.asobistore.jp/watch/ruj5rfaw54o,,"出演：アルストロメリア(黒木ほの香, 前川涼子, 芝崎典子)"
8,2018/08/07(火) 21:00,ユニット回：放課後クライマックスガールズ,,放課後クライマックスガールズ,,,,https://asobichannel.asobistore.jp/watch/nm6_npe9wp9l,,出演：放課後クライマックスガールズ(河野ひより、白石晴香、永井真里子、丸岡和佳奈、涼本あきほ)
9,2018/08/14(火) 21:00,ユニット回：イルミネーションスターズ,,イルミネーションスターズ,,,,https://asobichannel.asobistore.jp/watch/9hcmqsodqkn,,出演：イルミネーションスターズ(関根瞳、近藤玲奈、峯田茉優)
10,2018/08/21(火) 21:00,ユニット回：アンティーカ,,アンティーカ,,,,https://asobichannel.asobistore.jp/watch/vnze8f571,,出演：アンティーカ(礒部花凜、菅沼千紗、八巻アンナ、成海瑠奈、結名美月)
11,2018/08/28(火) 21:00,ユニット回：アルストロメリア,,アルストロメリア,,,,https://asobichannel.asobistore.jp/watch/035bevfde,,出演：アルストロメリア(黒木ほの香、前川涼子、芝崎典子)
12,2018/09/04(火) 21:00,ユニット回：放課後クライマックスガールズ,,放課後クライマックスガールズ,,,,https://asobichannel.asobistore.jp/watch/zucuh0yes,,出演：放課後クライマックスガールズ(河野ひより、白石晴香、永井真里子、丸岡和佳奈、涼本あきほ)
13,2018/09/11(火) 21:00,ユニット回：イルミネーションスターズ,,イルミネーションスターズ,,,,https://asobichannel.asobistore.jp/watch/l32n4l6lrz,,"出演: イルミネーションスターズ (関根瞳, 近藤玲奈, 峯田茉優)"
14,2018/09/18(火) 21:00,ユニット回：アンティーカ,,アンティーカ,,,,https://asobichannel.asobistore.jp/watch/ltyfttzlyj5,,出演：アンティーカ(礒部花凜、菅沼千紗、八巻アンナ、成海瑠奈、結名美月)
15,2018/09/25(火) 21:00,ユニット回：アルストロメリア,,アルストロメリア,,,,https://asobichannel.asobistore.jp/watch/m0mrremz9,,出演：アルストロメリア(黒木ほの香、前川涼子、芝崎典子)
16,2018/10/02(火) 21:00,ユニット回：放課後クライマックスガールズ,,放課後クライマックスガールズ,,,,https://asobichannel.asobistore.jp/watch/1wdr_6yqgfx,,出演：放課後クライマックスガールズ(河野ひより、白石晴香、永井真里子、丸岡和佳奈、涼本あきほ)
17,2018/10/09(火) 21:00,ユニット回：イルミネーションスターズ,,イルミネーションスターズ,,,,https://asobichannel.asobistore.jp/watch/x18ov056s,,出演：イルミネーションスターズ(関根瞳、近藤玲奈、峯田茉優)
18,2018/10/16(火) 21:00,ユニット回：アンティーカ,,アンティーカ,,,,https://asobichannel.asobistore.jp/watch/gh1ihm45kt,,出演：アンティーカ
19,2018/10/23(火) 21:00,ユニット回：アルストロメリア,,アルストロメリア,,,,https://asobichannel.asobistore.jp/watch/v87ebi7dg,,出演：アルストロメリア
20,2018/10/30(火) 21:00,ユニット回：放課後クライマックスガールズ,,放課後クライマックスガールズ,,,,https://asobichannel.asobistore.jp/watch/fqds64aqdomf,,出演：放課後クライマックスガールズ
