楽曲名,アルバム
裸足じゃイラレナイ,Song for Prism 裸足じゃイラレナイ / 明日もBeautiful Day
明日もBeautiful Day,Song for Prism 裸足じゃイラレナイ / 明日もBeautiful Day
ハナムケのハナタバ,Song for Prism ハナムケのハナタバ / 青空
青空,Song for Prism ハナムケのハナタバ / 青空
Happier,Song for Prism Happier / 枕木の歌
枕木の歌,Song for Prism Happier / 枕木の歌
時限式狂騒ワンダーランド,Song for Prism 時限式狂騒ワンダーランド / LINKs
LINKs,Song for Prism 時限式狂騒ワンダーランド / LINKs
After Run,Song for Prism After Run / mellow mellow
mellow mellow,Song for Prism After Run / mellow mellow
Heads or Tails？,Song for Prism Heads or Tails？ / グッバイ
グッバイ,Song for Prism Heads or Tails？ / グッバイ
Shower of light,Song for Prism Shower of light / 快盗Vを見逃すな
快盗Vを見逃すな,Song for Prism Shower of light / 快盗Vを見逃すな
Real Mind Shakes,Song for Prism Real Mind Shakes / THE LAST PRIDE
THE LAST PRIDE,Song for Prism Real Mind Shakes / THE LAST PRIDE
キズナシェアリング,シャニマス大感謝祭！ 〜283スポーツフェスティバル〜
Lit up my sky,シャニマス大感謝祭！ 〜283スポーツフェスティバル〜
永遠色アーチ,シャニマス大感謝祭！ 〜283スポーツフェスティバル〜
感謝のコントレイル,シャニマス大感謝祭！ 〜283スポーツフェスティバル〜
