曲順,日付,公演名,楽曲名,ユニット,歌唱者,衣装
1,2018/06/24,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 東京会場1回目,Spread the Wings!! ,イルミネーションスターズ,関根瞳;近藤玲奈;峯田茉優,スパークルイルミネーション
2,2018/06/24,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 東京会場1回目,Multicolored Sky ,イルミネーションスターズ,関根瞳;近藤玲奈;峯田茉優,スパークルイルミネーション
1,2018/06/24,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 東京会場2回目,Spread the Wings!! ,放課後クライマックスガールズ,河野ひより;白石晴香;永井真里子;丸岡和佳奈;涼本あきほ,ブレイブヒーロージャージ
2,2018/06/24,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 東京会場2回目,Multicolored Sky ,放課後クライマックスガールズ,河野ひより;白石晴香;永井真里子;丸岡和佳奈;涼本あきほ,ブレイブヒーロージャージ
1,2018/07/01,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 大阪会場1回目,Spread the Wings!! ,アルストロメリア,黒木ほの香;前川涼子;芝崎典子,ウィッシュフルリリー
2,2018/07/01,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 大阪会場1回目,Multicolored Sky ,アルストロメリア,黒木ほの香;前川涼子;芝崎典子,ウィッシュフルリリー
1,2018/07/01,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 大阪会場2回目,Spread the Wings!! ,アンティーカ,礒部花凜;菅沼千紗;八巻アンナ;成海瑠奈;結名美月,シンフォニックスチーム
2,2018/07/01,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 01 Spread the Wings!!発売記念イベント 大阪会場2回目,Multicolored Sky ,アンティーカ,礒部花凜;菅沼千紗;八巻アンナ;成海瑠奈;結名美月,シンフォニックスチーム
1,2018/07/22,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 02 ヒカリのdestination発売記念イベント 1回目,ヒカリのdestination,イルミネーションスターズ,関根瞳;近藤玲奈;峯田茉優,スパークルイルミネーション
2,2018/07/22,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 02 ヒカリのdestination発売記念イベント 1回目,虹になれ,イルミネーションスターズ,関根瞳;近藤玲奈;峯田茉優,スパークルイルミネーション
1,2018/07/22,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 02 ヒカリのdestination発売記念イベント 2回目,ヒカリのdestination,イルミネーションスターズ,関根瞳;近藤玲奈;峯田茉優,スパークルイルミネーション
2,2018/07/22,THE IDOLM@STER SHINY COLORS BRILLI@NT WING 02 ヒカリのdestination発売記念イベント 2回目,虹になれ,イルミネーションスターズ,関根瞳;近藤玲奈;峯田茉優,スパークルイルミネーション
