Column 7,楽曲名,アルバム,リリース日,歌唱者,enza実装,シャニソン実装,歓声追加,ソロ歌唱,歌い分け,定点＆縦画面,シャニソン周期,視点追加,MV公開,ソロコレ,ソロコレ発売日,ユニット版収録,初収録CDソロ歌唱
1,Spread the Wings!!,BRILLI@NT WING 01,2018/05/07,シャイニーカラーズ,2018/04/24,2023/11/14,2026/01/13,2026/01/21,2023/11/14,2026/3/20,既存1週目,2026/5/31,,,,BRILLI@NT WING 各ユニット盤（3曲目・各ユニットVer.）,
2,Multicolored Sky,BRILLI@NT WING 01,2018/05/07,シャイニーカラーズ,2018/05/14,2023/12/27,,2026/06/20,2023/12/27,2026/5/31,既存1週目,2026/5/31,,,,,
3,ヒカリのdestination,BRILLI@NT WING 02,2018/07/04,イルミネーションスターズ,2018/04/24,2023/11/14,,,2024/5/14,,既存1週目,,,-1stLIVE FLY TO THE SHINY SKY-,2019/03/09,,
4,虹になれ,BRILLI@NT WING 02,2018/07/04,イルミネーションスターズ,2018/06/11,,,,,,,,,-SUMMER PARTY 2019-,2019/08/18,,
5,バベルシティ・グレイス,BRILLI@NT WING 03,2018/08/01,アンティーカ,2018/04/24,2023/11/14,,,2024/5/14,,既存1週目,,,-1stLIVE FLY TO THE SHINY SKY-,2019/03/09,,
6,幻惑SILHOUETTE,BRILLI@NT WING 03,2018/08/01,アンティーカ,2018/07/03,,,,,,,,,-SUMMER PARTY 2019-,2019/08/18,,
7,夢咲きAfter school,BRILLI@NT WING 04,2018/09/05,放課後クライマックスガールズ,2018/04/24,2023/11/14,,,2024/5/14,,既存1週目,,,-1stLIVE FLY TO THE SHINY SKY-,2019/03/09,,
8,太陽キッス,BRILLI@NT WING 04,2018/09/05,放課後クライマックスガールズ,2018/08/06,2025/08/16,,,,,既存2DMV1週目,,,-SUMMER PARTY 2019-,2019/08/18,,
9,アルストロメリア,BRILLI@NT WING 05,2018/10/03,アルストロメリア,2018/04/24,2023/11/14,,,2024/5/14,,既存1週目,,,-1stLIVE FLY TO THE SHINY SKY-,2019/03/09,,
10,ハピリリ,BRILLI@NT WING 05,2018/10/03,アルストロメリア,2018/09/03,,,,,,,,,-SUMMER PARTY 2019-,2019/08/18,,
11,SNOW FLAKES MEMORIES,SE@SONAL WINTER,2018/12/19,シャイニーカラーズ,2018/12/14,2025/12/24,,,2025/12/24,2026/1/21,,,,-MUSIC DAWN-/ -Beyond the Blue sky part2-,2020/10/31,,
12,Let's get a chance,SE@SONAL WINTER,2018/12/19,シャイニーカラーズ,2018/11/23,,,,,,,,,-M@STERS OF IDOL WORLD!!!!! 2023-/ -Beyond the Blue sky part2-,2023/02/11,,
