アルバム,種別,YouTube_URL
BRILLI@NT WING01,試聴動画,https://youtu.be/TxkBJTAAbYk?si=O4H_CuJMv3oYtQ7X
BRILLI@NT WING02,試聴動画,https://youtu.be/o2Q6UbN5dfI?si=jIrLWjWZGh0r5Grj
BRILLI@NT WING03,試聴動画,https://youtu.be/LI7d7cHjD6I?si=sKnQcC4awJ5JcKfI
BRILLI@NT WING04,試聴動画,https://youtu.be/lw5WSonuhHw?si=JQG2SKI35j06-vPt
BRILLI@NT WING05,試聴動画,https://youtu.be/TdHC8gPi1yU?si=HBBWT1LTBAk7DQRn
FR@GMENT WING01,試聴動画,https://youtu.be/LzrOA1VK_EY?si=ZwedTt4EdG3MxQVX
FR@GMENT WING02,試聴動画,https://youtu.be/Ela9WiovqgA?si=DVf4uR2iXA92Pd2I
FR@GMENT WING03,試聴動画,https://youtu.be/7ojxsf2uLKk?si=iR_SdY2fq99JmR9A
FR@GMENT WING04,試聴動画,https://youtu.be/JZn6pH65YNk?si=pQFnRWIit9l15LRm
FR@GMENT WING05,試聴動画,https://youtu.be/ngXAvshESs4?si=XqiCE3riA6C-kO2C
FR@GMENT WING06,試聴動画,https://youtu.be/T3yivwygYjo?si=oo981tOn04rksM7u
GR@DATE WING01,試聴動画,https://youtu.be/2QCNRUoDb6s?si=DG96BU8HVCuicgoJ
GR@DATE WING02,試聴動画,https://youtu.be/GOqiWS1j6es?si=x4taN6C_JOwWhTU9
GR@DATE WING03,試聴動画,https://youtu.be/qNud-JWNxDc?si=IYj8xnPUMKiavWp7
GR@DATE WING04,試聴動画,https://youtu.be/PyOi2nrevko?si=hy8aIC9H3G6bBwKH
GR@DATE WING05,試聴動画,https://youtu.be/nsirq5MmEps?si=kG93h4d0WA7iNhS5
GR@DATE WING06,試聴動画,https://youtu.be/XUrSRkMRHCY?si=b2NOExDH2RtA8ePs
GR@DATE WING07,試聴動画,https://youtu.be/xZtiRGMGsig?si=DkdfjuZW4yjBKWJW
L@YERED WING01,試聴動画,https://youtu.be/YxdO63q8e1A?si=R0b4aB4LMfzOaA6b
L@YERED WING02,試聴動画,https://youtu.be/uB6fjXjwRpc?si=m9RiL1UU-gAJ4oWx
L@YERED WING03,試聴動画,https://youtu.be/aGZCw5s7YDE?si=8EAQyRL7Jijtss3U
L@YERED WING04,試聴動画,https://youtu.be/ilNhd-4aoq8?si=JCri_2Vk8zTM5fiD
L@YERED WING05,試聴動画,https://youtu.be/enJGFSuEoG0?si=rhP6fCR6NgQqt_1F
L@YERED WING06,試聴動画,https://youtu.be/kmkMwgbHyiQ?si=EW6wili-9UTnyUj0
L@YERED WING07,試聴動画,https://youtu.be/QSktTmXKPlU?si=qO5oHFLbFDJa3ao-
L@YERED WING08,試聴動画,https://youtu.be/CcXDKnkOrm0?si=nw3qZC5fo7-5bvAK
PANOR@MA WING01,試聴動画,https://youtu.be/IljwYgSAXDI?si=4LLs_S0freWvApzj
PANOR@MA WING02,試聴動画,https://youtu.be/rpw6y5cYi5I?si=h-P4FwbzGFmSnAjF
PANOR@MA WING03,試聴動画,https://youtu.be/m0i_IlMSXlE?si=IBvKo54KauGqrUKd
PANOR@MA WING04,試聴動画,https://youtu.be/tCVyakA-a7k?si=iprM7D-S_Uhhzh1n
PANOR@MA WING05,試聴動画,https://youtu.be/OvxsVStUoaE?si=YOtyCh568iu_742d
PANOR@MA WING06,試聴動画,https://youtu.be/uv3Ud6cojzQ?si=HDJmwGRCvbekPq9X
PANOR@MA WING07,試聴動画,https://youtu.be/g8x_dmSVYsc?si=ScAfXuZCLvvv1HVb
PANOR@MA WING08,試聴動画,https://youtu.be/PVsI29YKSJc?si=IZ08Tkb7FXHfYfq9
CANVAS01,試聴動画,https://youtu.be/WxMudWygyBI?si=VoPgwsJ4awx4bDHj
CANVAS02,試聴動画,https://youtu.be/IvTdCaL48us?si=ERFxjHnp060JTFkN
CANVAS03,試聴動画,https://youtu.be/Xk1bqtHIe6Y?si=2Johi5sLsRna_VLr
CANVAS04,試聴動画,https://youtu.be/xdpTbG4JSpA?si=gJC53zG-YbHXD3DB
CANVAS05,試聴動画,https://youtu.be/LohViU3T8Cs?si=sB5jgN-oYVEA4P9E
CANVAS06,試聴動画,https://youtu.be/-4W0DXJD9RU?si=y7yCZk_uwFbTsQQg
CANVAS07,試聴動画,https://youtu.be/qGPHilxPCTE?si=k_--AFCMgxfiLGB3
CANVAS08,試聴動画,https://youtu.be/-3yh2SZPACU?si=wVhHLJ6rq12TJ-gT
ECHOES01,試聴動画,https://youtu.be/ZdywcneZ--Q?si=jsdRX0qCLb8JoIWV
ECHOES02,試聴動画,https://youtu.be/49Ar09HkWu0?si=sqUwOgAXA3YlHJSS
ECHOES03,試聴動画,https://youtu.be/JgxbxuYutJQ?si=INVhECQswuVUox4q
ECHOES04,試聴動画,https://youtu.be/q6i5xs9H-P8?si=F1R-bMCRV8Zdrp1h
ECHOES05,試聴動画,https://youtu.be/Z-h2Aost3qQ?si=TUVRLVpx-R3zFloY
ECHOES06,試聴動画,https://youtu.be/WH3lBmDqcWc?si=0vaW9rDKf2gkTjuP
ECHOES07,試聴動画,https://youtu.be/xRnE7iq2gcA?si=cxsNLaLUPZQNUDxZ
ECHOES08,試聴動画,https://youtu.be/PBVdCBX3PO0?si=V5pXSkXAzjpbVWuh
ECHOES09,試聴動画,https://youtu.be/vv9-MimEQ8s?si=nyNdFpqE8EYou-89
"""円環 -Halo around-""01",試聴動画,https://youtu.be/Wg-S1h2Whe8?si=JiReA2MHQe3TOP8d
"""円環 -Halo around-""02",試聴動画,https://youtu.be/21FT9vXv_zs?si=MWmcrFUzKGX1VeM-
"""円環 -Halo around-""03",試聴動画,https://youtu.be/Xo4suQ5_2QE?si=NiuBuKJR2PLIn0Li
"""円環 -Halo around-""04",試聴動画,https://youtu.be/8YjBnxxEw-o?si=I_PBf6tSyjsYV0Vd
COLORFUL FE@THERS　Stella,試聴動画,https://youtu.be/kUhc6qTn_UY?si=DDHAlYl459Mj_0EN
COLORFUL FE@THERS　Luna,試聴動画,https://youtu.be/pwewyw_oXQQ?si=p6mnPTCgN0dEvyrc
COLORFUL FE@THERS　Sol,試聴動画,https://youtu.be/hOL1AONqtAs?si=rdbdwFLCUkotyY0I
COLORFUL FE@THERS　シーズ,試聴動画,https://youtu.be/tVlGASKc4J8?si=QWgkxNPZeYDRrlM9
COLORFUL FE@THERS　コメティック,試聴動画,https://youtu.be/-d-2va_cd2U?si=813yEFvhQTCJk2jc
Song for Prism C’mon! Join Us / 愛なView / サマーサマーオーシャンパーリィバケーション,試聴動画,https://youtu.be/Cigw0ow1XKk?si=adh1EWiLnlqxiJrY
Song for Prism Borderline / クローバー / Summer Night Paradise,試聴動画,https://youtu.be/-VUYiP8xP-k?si=YDsOfWUsIAikdqZW
Song for Prism Happier / 枕木の歌,試聴動画,https://youtu.be/CdUNdc_0QxE?si=3nZjgunzRWOfgKLe
Song for Prism 時限式狂騒ワンダーランド / LINKs,試聴動画,https://youtu.be/UcPfxSpTeJc?si=V3dGMRumRhKlyV5X
Song for Prism 裸足じゃイラレナイ / 明日もBeautiful Day,試聴動画,https://youtu.be/PQcr_SsA5oo?si=GNZ1EyhnDZD3jjFJ
Song for Prism ハナムケのハナタバ / 青空,試聴動画,https://youtu.be/6jS5FwMwHyo?si=WW-vwYcd4pJVUJjY
Song for Prism Shower of light / 快盗Vを見逃すな,試聴動画,https://youtu.be/wmccvmr3UX8?si=bWJbP0uyiI1lFwfr
Song for Prism Real Mind Shakes / THE LAST PRIDE,試聴動画,https://youtu.be/84RRgnFjXbA?si=D55EnvXBMd9QWcHk
Song for Prism After Run / mellow mellow,試聴動画,https://youtu.be/yCh3wyIAxjw?si=HSUN8D7iKUI6o_L1
Song for Prism Heads or Tails？ / グッバイ,試聴動画,https://youtu.be/IO7WQ7ka5e8?si=dtUrBHhziNSug6TM
Song for Prism 愛しき日々 / Fading Stars / Future Transit / KoiKyun！,試聴動画,https://youtu.be/x6RPVmnFS_s?si=K3o-nRtxTGV70q-H
Song for Prism QUEEN OF THE PIRATES / キラピコ.exe / Sleepless Nights / アイノウ,試聴動画,https://youtu.be/LhmAtc_wudg?si=Qb9W-XWNRMn_S9vk
Song for Prism カウントダウンラブ / KAWAII♡めたもる交響曲,試聴動画,https://youtu.be/n1r6CF01oiE?si=BO4-0hhgv9wdlNhT
Song for Prism ボーダーレス・ノンストレス / Oh Yeah!!,試聴動画,https://youtu.be/ncwKGh1IqRY?si=F7eIaPwX8cRD9lg4
Song for Prism SUPER DUPER DREAMER / BEAST MODE,試聴動画,https://youtu.be/O3sANw3w1wI?si=Gdnnb0glvu1vPTHE
Song for Prism Ring Ring Ringの魔法 / 街角メランコリー,試聴動画,https://www.youtube.com/watch?v=BcqsCgcsU6g
Song for Prism 散花-sanka- / 紅花-benibana-,試聴動画,https://www.youtube.com/watch?v=f7PSfTWrESs
Song for Prism Tokyo自由系*ガール / My time,試聴動画,https://www.youtube.com/watch?v=foA9w6raRrE
SE@SONAL WINTER,試聴動画,https://youtu.be/_wZf6WIkb1Q?si=UC-D5zfqHQsxy1YE
主題歌アルバム「Over the prism」,試聴動画,https://youtu.be/X32NYKUR9rg?si=7lxb_S5EbSr_rb_9
ハロウィンアルバム「Happy Surprise Trick!」,試聴動画,https://youtu.be/j-LsSOkjx8k?si=7JfslFcErKIIawcT
PRオファー（3枚共通）,試聴動画,https://youtu.be/r1qu9DGHeX0?si=54MKYE-S-CFIgEwy
FUTURITY SMILE,試聴動画,https://youtu.be/0hYVEG5Abfs?si=VIlo2y2hh466d39F
SWEET♡STEP,試聴動画,https://youtu.be/YPUvtjdRczQ?si=_j1auzb2XRRQkcpZ
サウンドトラック,試聴動画,https://youtu.be/wFnFgqbt4hs?si=DyhY2CBkSbMwRTR_
騎士団のヴェール – Veil of Order – Music Collection,試聴動画,https://youtu.be/RkIoT1Vru3Q?si=kzN2_iWGyHCg35Fe
XXX= S/N-GUL4R1TY MUSIC COLLECTION,試聴動画,https://youtu.be/K587Vd9PRAc?si=XhQhiwFKt14Hu3uC
