対象公演,種別,YouTube_URL
MUSIC DAWN,AP生配信,https://www.youtube.com/live/XIjSo9U5y7w?si=e_C2X4V9NGldRp1V
2ndLIVE STEP INTO THE SUNSET SKY,AP生配信,https://www.youtube.com/live/jLBcdJLteak?si=r6TbZHol41TQUYBN
3rdLIVE TOUR PIECE ON PLANET / NAGOYA,AP生配信,https://www.youtube.com/live/NdzJ_n5JdDU?si=YOeyO0fWP9vBfP_y
3rdLIVE TOUR PIECE ON PLANET / TOKYO,AP生配信,https://www.youtube.com/live/PMrouYURi74?si=__MnAyZoVVAPgeVo
3rdLIVE TOUR PIECE ON PLANET / FUKUOKA,AP生配信,https://www.youtube.com/live/toIY5QekT1w?si=TuELQWqorTmFy8gg
283フェス 2021 Happy Buffet!,AP生配信 1,https://www.youtube.com/live/JGz8_m7mCuM?si=xe_7AoghZ3C49rxt
283フェス 2021 Happy Buffet!,AP生配信 2,https://www.youtube.com/live/QJKYUe5M9cg?si=GiA1UXFLnREbKslu
283フェス 2021 Happy Buffet!,AP生配信 3,https://www.youtube.com/live/teJRG4whzuw?si=OJ-7XjoOflllE9gr
Xmas Party -Silent night-,AP生配信,https://www.youtube.com/live/I2Hh0jPdH-g?si=rf6Oj-eRXcsxS4ed
4thLIVE 空は澄み、今を越えて。,AP生配信,https://www.youtube.com/live/k2LZn6hCZ24?si=EN-emdFV10Ft2CcR
バンダイナムコエンターテインメントフェスティバル 2nd,AP生配信,https://www.youtube.com/live/g6jvitwlCzw?si=lAvz1e8OvjLU1feS
シャニマス初の対バンライブ 283PRODUCTION UNIT LIVE SETSUNA BEAT,AP生配信,https://www.youtube.com/live/zorD4eulJB8?si=GJLaMnGrciseAcCD
シャニマス初の対バンライブ 283PRODUCTION UNIT LIVE MUGEN BEAT,AP生配信 1,https://www.youtube.com/live/iAzIdDbTTmg?si=hAZZiHc8zyQiD3vQ
シャニマス初の対バンライブ 283PRODUCTION UNIT LIVE MUGEN BEAT,AP生配信 2,https://www.youtube.com/live/AWN4x35rSfw?si=L7sWM8V1v2wTW9mn
M@STERS OF IDOL WORLD!!!!! 2023,AP生配信 1,https://www.youtube.com/live/Rf-Z-kQDozc?si=IwDiNPznifmAJFSJ
M@STERS OF IDOL WORLD!!!!! 2023,AP生配信 2,https://www.youtube.com/live/yI5_HdJpap0?si=pR8IPFEJU8DCg-Z7
5thLIVE If I_wings.,AP生配信 1,https://www.youtube.com/live/3L0KJm6jv38?si=Ds-Q9AxInssBvccG
5thLIVE If I_wings.,AP生配信 2,https://www.youtube.com/live/8DvDrJ7Ki-I?si=hXepDdqH5TvUWf1s
Solo Performance LIVE 我儘なまま,AP生配信 1,https://www.youtube.com/live/4VvLkB5dwic?si=D70_i83dEtqf3GeQ
Solo Performance LIVE 我儘なまま,AP生配信 2,https://www.youtube.com/live/Fcakp80vNG8?si=iMXQga7S-5vMGqMg
5.5th Anniversary LIVE 星が見上げた空,AP生配信 1,https://www.youtube.com/live/N1J_hHuNX9g?si=rAag230zk9sRGs5r
5.5th Anniversary LIVE 星が見上げた空,AP生配信 2,https://www.youtube.com/live/1nCYHTCP8Hs?si=--RGTKgg79ttFq8f
異次元フェス アイドルマスター★♥︎ラブライブ！歌合戦,AP生配信 1,https://www.youtube.com/live/X05A-Cyyhpg?si=yoGpK6ktC4YiLdjg
異次元フェス アイドルマスター★♥︎ラブライブ！歌合戦,AP生配信 2,https://www.youtube.com/live/QAoiFkuGMNo?si=hdgppOLgValG-sCe
6thLIVE TOUR Come and Unite! Brilliant Blooms,AP生配信 1,https://www.youtube.com/live/OkflrSdmBYg?si=ipjFUMAISGg7qV7D
6thLIVE TOUR Come and Unite! Brilliant Blooms,AP生配信 2,https://www.youtube.com/live/jGn7usVMFPs?si=4pCB6Y6FzlNuHdaa
6thLIVE TOUR Come and Unite! Fantastic Fireworks,AP生配信 1,https://www.youtube.com/live/XEFm-E6O0GI?si=i2k9G0kD1-PLxCaM
6thLIVE TOUR Come and Unite! Fantastic Fireworks,AP生配信 2,https://www.youtube.com/live/PicF6tDOcfw?si=sKzDbqWb2bkZAd8O
LIVE FUN!! -Beyond the Blue sky-,AP生配信 1,https://www.youtube.com/live/K1E1yuMhUxY?si=E6WDJJexn2gwT-JE
LIVE FUN!! -Beyond the Blue sky-,AP生配信 2,https://www.youtube.com/live/NtNZ2ASViGY?si=dtQNIltfIHsl6AoX
6.5th Anniversary LIVE “Chapter 283”,AP生配信 1,https://www.youtube.com/live/jEUW3u_qIF8?si=0l38Ksv7XGBogVqA
6.5th Anniversary LIVE “Chapter 283”,AP生配信 2,https://www.youtube.com/live/yU6FPFr2mfM?si=1lW6GLdNXL-pL4-u
6.5th Anniversary LIVE “Chapter 283”,AP生配信 3,https://www.youtube.com/live/DStIyUkv07M?si=ZgACpGmb9eGiNlzA
LME,AP生配信 1,https://www.youtube.com/live/zQouFsZ61p8?si=oymqWlVK78LINB0e
LME,AP生配信 2,https://www.youtube.com/live/GTshS2o49R4?si=HLummB4leR9frsO6
2nd season LIVE Over the prism,AP生配信 1,https://www.youtube.com/live/uyqyH5xzxYw?si=zqITpAtscHPqNLsN
2nd season LIVE Over the prism,AP生配信 2,https://www.youtube.com/live/BON8Hnr3Kd8?si=yIu_QlR2hVo2RRh8
Uka,AP生配信,https://www.youtube.com/live/DAgXveKEAVc?si=QA_qKxuvC0OwPZs2
7th UNITLIVE TOUR 円環 -Halo around- first quadrant,AP生配信,https://www.youtube.com/live/cFFxxy_lF30?si=AGPlme-E2eq-e_ct
7th UNITLIVE TOUR 円環 -Halo around- second quadrant,AP生配信,https://www.youtube.com/live/FYMQnL9MGPA?si=cqZeDXUEPh2FHPIx
7th UNITLIVE TOUR 円環 -Halo around- third quadrant,AP生配信,https://www.youtube.com/live/sbMui9qa1G0?si=nx1BlzJqvJjDBBzs
7th UNITLIVE TOUR 円環 -Halo around- fourth quadrant,AP生配信 1,https://www.youtube.com/live/GPrl34OApOE?si=VTBBxUMxbrkk2Zj-
7th UNITLIVE TOUR 円環 -Halo around- fourth quadrant,AP生配信 2,https://www.youtube.com/live/4GZJbvtt7HU?si=0i-j-D9CpbapsNk9
7th LIVE TOUR 螺旋 -Halo around- “The origin on the axes”,AP生配信 1,https://www.youtube.com/live/RAcS7NlK9DY?si=gVeilEh8zGp-M9O6
7th LIVE TOUR 螺旋 -Halo around- “The origin on the axes”,AP生配信 2,https://www.youtube.com/live/Yai180HzblM?si=StnCuilV2sL93ujr
M@STERS OF IDOL WORLD 2025,AP生配信 1,https://www.youtube.com/live/8R4bB1P5Gng?si=fgHUeb1X8OpisMSh
M@STERS OF IDOL WORLD 2025,AP生配信 2,https://www.youtube.com/live/OWpyC8vzO08?si=KMOMT0fL8FAiRsjT
M@STERS OF IDOL WORLD 2025,AP生配信 3,https://www.youtube.com/live/PD744EKhvCw?si=4ZU_6x3kReAzFoIY
騎士団,AP生配信,https://www.youtube.com/live/VHL0VHVMUlY?si=TNrBMdg4VarF6-Qg
シャニマス大感謝祭！ 〜283スポーツフェスティバル〜,AP生配信,https://www.youtube.com/live/1r3hFdAthuM?si=pNS5aYEh2E7YSdTb
シンギュラリティ,AP生配信,https://www.youtube.com/live/liioRPyuqPg?si=rN5SxlqBZLeY55YZ
∞th LIVE iと夢,AP生配信 1,https://www.youtube.com/live/GmatvLcyqS0?si=5IQ7AtQU437p5jkH
∞th LIVE iと夢,AP生配信 2,https://www.youtube.com/live/8O6d7_swVw4?si=ffbs_eir9mUCHLsf
