楽曲名,対象アルバム,YouTube_URL,確認状態
Migratory Echoes（イルミネーションスターズ Ver.）,ECHOES 09,https://www.youtube.com/watch?v=_GyLmRviEe4,確認済み
Migratory Echoes（アンティーカ Ver.）,ECHOES 09,https://www.youtube.com/watch?v=uL5JlKRkUeo,要確認
Migratory Echoes（放課後クライマックスガールズ Ver.）,ECHOES 09,https://www.youtube.com/watch?v=sVlXuJd29BA,要確認
Migratory Echoes（アルストロメリア Ver.）,ECHOES 09,https://www.youtube.com/watch?v=lKTDcGR0Uww,要確認
Migratory Echoes（ストレイライト Ver.）,ECHOES 09,https://www.youtube.com/watch?v=3Buyp0pd4BE,要確認
Migratory Echoes（ノクチル Ver.）,ECHOES 09,https://www.youtube.com/watch?v=AZ24D8mII-E,要確認
Migratory Echoes（シーズ Ver.）,ECHOES 09,https://www.youtube.com/watch?v=M8U31_bTSXs,確認済み
Migratory Echoes（コメティック Ver.）,ECHOES 09,https://www.youtube.com/watch?v=XetmoUBi_oI,確認済み
Migratory Echoes（イルミネーションスターズ Ver.）,ECHOES 01,https://www.youtube.com/watch?v=_GyLmRviEe4,確認済み
Migratory Echoes（アンティーカ Ver.）,ECHOES 02,https://www.youtube.com/watch?v=9DlhCn_SuCg,確認済み
Migratory Echoes（放課後クライマックスガールズ Ver.）,ECHOES 03,https://www.youtube.com/watch?v=pbgN3qwq1XY,確認済み
Migratory Echoes（アルストロメリア Ver.）,ECHOES 04,https://www.youtube.com/watch?v=_McBSbZiXA4,確認済み
Migratory Echoes（ストレイライト Ver.）,ECHOES 05,https://www.youtube.com/watch?v=D2ZSLboilqw,確認済み
Migratory Echoes（ノクチル Ver.）,ECHOES 06,https://www.youtube.com/watch?v=EB6SL4vv9aI,確認済み
Migratory Echoes（シーズ Ver.）,ECHOES 07,https://www.youtube.com/watch?v=rfrNzu1h2Mg,確認済み
Migratory Echoes（コメティック Ver.）,ECHOES 08,https://www.youtube.com/watch?v=bPPofGixnS4,確認済み
