動画タイトル,YouTube_URL,自動判定種別
Spread the Wings!! (2023 Ver.),https://www.youtube.com/watch?v=eRhtM4roYs0,公式音源候補
Multicolored Sky (2023 Ver.),https://www.youtube.com/watch?v=ky7l6HYGjt4,公式音源候補
ヒカリのdestination,https://www.youtube.com/watch?v=SeNiJ-4azcY,公式音源候補
虹になれ,https://www.youtube.com/watch?v=tOVnK7fnKek,公式音源候補
バベルシティ・グレイス (2023 Ver.),https://www.youtube.com/watch?v=cPh82K-yMl0,公式音源候補
幻惑SILHOUETTE (2023 Ver.),https://www.youtube.com/watch?v=4LznTKY7XdA,公式音源候補
夢咲きAfter school,https://www.youtube.com/watch?v=0ky-ClgtLrM,公式音源候補
太陽キッス,https://www.youtube.com/watch?v=TlMKbphvPkE,公式音源候補
アルストロメリア,https://www.youtube.com/watch?v=dDIeDi-NlGQ,公式音源候補
ハピリリ,https://www.youtube.com/watch?v=n_synseUdIg,公式音源候補
Ambitious Eve (2023 Ver.),https://www.youtube.com/watch?v=NAa_ryW2RZ8,公式音源候補
いつか Shiny Days (2023 Ver.),https://www.youtube.com/watch?v=QgFZr2kST6U,公式音源候補
We can go now!,https://www.youtube.com/watch?v=nTkMCLcRb1g,公式音源候補
トライアングル,https://www.youtube.com/watch?v=lcwu-Vcw9Js,公式音源候補
NEO THEORY FANTASY (2023 Ver.),https://www.youtube.com/watch?v=jLoeLOvPSY0,公式音源候補
ラビリンス・レジスタンス (2023 Ver.),https://www.youtube.com/watch?v=FYCvW_4Lqb0,公式音源候補
ビーチブレイバー,https://www.youtube.com/watch?v=BXp0D3gdrrY,公式音源候補
よりみちサンセット,https://www.youtube.com/watch?v=3-OEAy-Yqzc,公式音源候補
Bloomy!,https://www.youtube.com/watch?v=-NWULtqoal0,公式音源候補
Love Addiction,https://www.youtube.com/watch?v=f3fHCDNwTng,公式音源候補
Wandering Dream Chaser,https://www.youtube.com/watch?v=fZkadm6MWic,公式音源候補
Transcending The World,https://www.youtube.com/watch?v=tZBGg95hMoM,公式音源候補
シャイノグラフィ (2023 Ver.),https://www.youtube.com/watch?v=Bsm9rQc7uew,公式音源候補
Dye the sky. (2023 Ver.),https://www.youtube.com/watch?v=Y_69jp58e5c,公式音源候補
Hide & Attack,https://www.youtube.com/watch?v=Fk1NobIWGvg,公式音源候補
Destined Rival,https://www.youtube.com/watch?v=O2Pcd-FnQ0k,公式音源候補
いつだって僕らは,https://www.youtube.com/watch?v=sgq2T14EyMo,公式音源候補
あの花のように,https://www.youtube.com/watch?v=NaCSpXECH2o,公式音源候補
なんどでも笑おう (シャイニーカラーズVer.),https://www.youtube.com/watch?v=ANGCdMtzqUI,公式音源候補
Twinkle way,https://www.youtube.com/watch?v=SdY0kWK1RPg,公式音源候補
Happy Funny Lucky,https://www.youtube.com/watch?v=uMY_qIoWgnk,公式音源候補
Black Reverie (2023 Ver.),https://www.youtube.com/watch?v=-zif1Q4fAIw,公式音源候補
純白トロイメライ (2023 Ver.),https://www.youtube.com/watch?v=nGIe0kr1r5Y,公式音源候補
五ツ座流星群,https://www.youtube.com/watch?v=3iISh5nQ9ws,公式音源候補
学祭革命夜明け前,https://www.youtube.com/watch?v=KKyeKHDA_Rg,公式音源候補
ダブル・イフェクト,https://www.youtube.com/watch?v=qXMig02NZno,公式音源候補
Anniversary,https://www.youtube.com/watch?v=XCBGCg_FTMQ,公式音源候補
プラニスフィア ～planisphere～,https://www.youtube.com/watch?v=tRbXq3YHuTI,公式音源候補
ありったけの輝きで,https://www.youtube.com/watch?v=WMkSD5-lm6Q,公式音源候補
星をめざして,https://www.youtube.com/watch?v=4dP9iLn7Mcs,公式音源候補
